City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind speed
0,Albany,90,US,1543888320,69,42.65,-73.75,39.92,16.11
1,Hermanus,0,ZA,1543888915,95,-34.42,19.24,42.08,2.73
2,Saint-Philippe,90,CA,1543887300,95,45.36,-73.48,32,8.66
3,Bredasdorp,0,ZA,1543885200,82,-34.53,20.04,60.8,3.36
4,Aubenas,75,FR,1543887000,100,44.62,4.39,48.2,5.23
5,Castro,90,CL,1543885200,87,-42.48,-73.76,55.4,6.93
6,Iqaluit,20,CA,1543885200,76,63.75,-68.52,-5.81,11.41
7,Rabak,0,SD,1543888994,36,13.18,32.74,68.09,11.34
8,Dudinka,20,RU,1543888917,48,69.41,86.18,-28.98,15.82
9,Kahului,20,US,1543884960,60,20.89,-156.47,82.04,20.8
10,Punta Arenas,20,CL,1543885200,65,-53.16,-70.91,44.6,29.97
11,Wagga Wagga,0,AU,1543885200,38,-35.12,147.37,73.4,12.75
12,Aklavik,90,CA,1543885200,73,68.22,-135.01,23,4.7
13,Butaritari,44,KI,1543888918,100,3.07,172.79,84.79,2.73
14,Muzhi,92,RU,1543888919,86,65.4,64.7,18.37,13.69
15,Hilo,75,US,1543884780,66,19.71,-155.08,78.98,8.05
16,Pangnirtung,68,CA,1543888919,86,66.15,-65.72,4.19,8.03
17,Ushuaia,40,AR,1543885200,61,-54.81,-68.31,48.2,12.75
18,Alugan,88,PH,1543888919,95,12.22,125.48,82.09,11.12
19,Cape Town,20,ZA,1543885200,82,-33.93,18.42,55.4,3.36
20,Genhe,32,CN,1543888920,52,50.78,121.52,-6.21,8.59
21,Porto-Vecchio,20,FR,1543887000,68,41.59,9.28,69.8,32.21
22,Kapaa,90,US,1543884960,76,22.08,-159.32,80.96,19.46
23,Busselton,12,AU,1543888920,92,-33.64,115.35,67.78,16.82
24,Tuktoyaktuk,90,CA,1543885200,92,69.44,-133.03,14,12.75
25,Cukai,75,MY,1543885200,100,4.25,103.42,78.8,3.36
26,Dikson,80,RU,1543888921,100,73.51,80.55,-0.81,38.52
27,Marysville,90,CA,1543888500,100,42.91,-82.49,32,23.04
28,Ust-Nera,36,RU,1543888922,0,64.57,143.24,-39.06,1.99
29,Atuona,56,PF,1543888922,100,-9.8,-139.03,79.39,8.59
30,Guarapari,75,BR,1543885200,88,-20.67,-40.5,71.6,10.45
31,Kincardine,0,GB,1543888200,100,56.07,-3.72,35.6,2.24
32,Libreville,40,GA,1543887000,88,0.39,9.45,80.6,6.93
33,General Roca,0,AR,1543885200,60,-39.03,-67.58,69.8,2.24
34,Hithadhoo,92,MV,1543888923,100,-0.6,73.08,81.82,6.87
35,Schleswig,8,DE,1543886400,81,54.52,9.57,44.6,13.87
36,Puerto Ayora,0,EC,1543888924,100,-0.74,-90.35,72.23,12.35
37,Rikitea,64,PF,1543888924,97,-23.12,-134.97,78.85,12.8
38,Ashtian,88,IR,1543888925,97,34.52,50,37,1.54
39,Cedar City,1,US,1543888380,67,37.68,-113.06,21.92,3.36
40,Kasongo,92,CD,1543888925,93,-4.43,26.67,69.98,2.06
41,Itarema,68,BR,1543888868,94,-2.92,-39.92,76.33,4.56
42,Shache,12,CN,1543888926,76,38.42,77.24,13.73,3.11
43,Mocuba,0,MZ,1543888926,90,-16.84,36.99,70.03,2.55
44,Port Pirie,0,AU,1543885200,64,-33.18,138.01,69.8,11.41
45,Nicoya,40,CR,1543885200,88,10.15,-85.45,78.8,3.36
46,Tuatapere,92,NZ,1543888927,100,-46.13,167.69,53.24,7.92
47,Airai,8,TL,1543888987,71,-8.93,125.41,82.94,0.83
48,Coahuayana,0,MX,1543888987,82,18.62,-100.35,62.24,2.1
49,Georgetown,75,GY,1543885200,88,6.8,-58.16,75.2,4.7
50,Praia da Vitoria,20,PT,1543885200,77,38.73,-27.07,59,29.01
51,Nikolskoye,75,RU,1543887000,92,59.7,30.79,28.4,4.47
52,Isangel,88,VU,1543888989,100,-19.55,169.27,79.16,13.58
53,Acapulco,40,MX,1543884420,83,16.86,-99.88,80.6,2.24
54,Haines Junction,0,CA,1543888990,71,60.75,-137.51,-1.12,1.83
55,Port Alfred,100,ZA,1543888990,97,-33.59,26.89,64.31,3
56,Hrusovany nad Jevisovkou,90,CZ,1543887000,100,48.83,16.4,37.4,1.12
57,Takoradi,0,GH,1543888990,100,4.89,-1.75,80.92,7.58
58,Khatanga,20,RU,1543888991,0,71.98,102.47,-30.87,3
59,Nishihara,40,JP,1543887000,72,35.74,139.53,61.34,4.7
60,Alihe,24,CN,1543888991,38,50.57,123.73,1.49,5.64
61,Vao,88,EE,1543888991,97,59.1,26.19,35.69,9.89
62,Port Augusta,0,AU,1543885200,64,-32.49,137.76,69.8,11.41
63,San Juan,20,PR,1543884960,84,18.47,-66.12,78.08,3.36
64,Vuktyl,92,RU,1543888993,79,63.86,57.31,18.41,7.02
65,Avarua,40,CK,1543885200,54,-21.21,-159.78,84.2,10.29
66,La Ronge,90,CA,1543885200,92,55.1,-105.3,21.2,2.24
67,Saldanha,20,PT,1543888994,86,41.42,-6.55,35.38,2.73
68,Qaanaaq,0,GL,1543888994,100,77.48,-69.36,-11.92,9.1
69,Mar del Plata,8,AR,1543888994,35,-46.43,-67.52,74.39,15.86
70,Bluff,8,AU,1543888994,48,-23.58,149.07,92.71,7.02
71,Cherskiy,48,RU,1543888994,78,68.75,161.3,-17.55,4.9
